COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,AH04E001,AH04E002,AH04E003,AH04E004,AH04E005,AH04E006,AH04E007,AH04E008,AH04E009,AH04E010,AH04E011,AH04E012,AH04E013,AH04E014,AH04E015,AH04E016,AH04E017,AH04E018,AH04E019,AH04E020,AH04E021,AH04E022,AH04E023,AH04E024,AH04E025,AH04M001,AH04M002,AH04M003,AH04M004,AH04M005,AH04M006,AH04M007,AH04M008,AH04M009,AH04M010,AH04M011,AH04M012,AH04M013,AH04M014,AH04M015,AH04M016,AH04M017,AH04M018,AH04M019,AH04M020,AH04M021,AH04M022,AH04M023,AH04M024,AH04M025,STATEA,COUNTYA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5350,9,0,0,0,4,0,0,14,7,0,25,18,59,150,60,1252,265,499,831,597,1026,380,65,89,36,12,17,17,17,7,17,17,24,9,17,20,18,32,64,45,179,79,132,156,128,189,108,36,69,16,015
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30832,267,48,0,60,13,25,0,59,37,1,290,447,586,507,396,7674,1659,2622,6700,2521,4627,1393,507,393,92,144,51,25,65,22,21,25,76,33,2,140,162,213,167,131,564,250,298,566,317,474,230,133,144,16,017
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66489,653,0,0,13,0,47,76,0,769,208,165,710,844,1046,1115,14219,3230,5610,11699,6612,13665,4014,850,944,217,201,28,28,22,28,42,56,28,220,155,96,202,203,227,216,590,336,474,656,443,665,347,192,202,16,019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7869,38,0,0,0,0,0,0,0,24,0,336,32,81,186,114,2501,425,695,1320,685,1029,243,128,32,69,30,19,19,19,19,19,19,19,41,19,155,33,44,89,68,260,129,160,244,195,203,100,87,37,16,021
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1897,0,0,6,0,0,0,0,0,36,0,12,17,3,39,37,609,81,234,352,177,227,55,7,5,132,12,12,8,12,12,12,12,12,55,12,13,16,5,37,21,100,47,63,71,52,58,25,9,7,16,023
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611,0,0,0,0,0,5,0,0,16,0,19,0,0,15,3,182,17,33,151,44,91,25,6,4,93,12,12,12,12,12,7,12,12,25,12,16,12,12,13,4,55,17,20,47,25,44,19,8,6,16,025
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125936,2504,18,0,82,380,767,333,423,1916,721,1550,2091,2592,3386,2654,30229,10180,12249,21030,10087,16252,5251,516,725,201,448,25,28,55,178,289,165,201,355,258,303,433,428,441,352,1458,958,883,1140,793,1014,659,146,180,16,027
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4413,14,0,0,0,4,20,0,0,23,8,26,9,77,118,52,1329,225,380,806,436,675,106,22,83,30,15,17,17,17,6,21,17,17,34,14,24,10,33,47,29,137,70,81,106,97,124,39,19,43,16,029
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13738,305,0,12,15,21,118,86,55,462,89,131,369,416,312,217,3256,763,997,2441,1182,1786,476,161,68,47,96,22,23,19,25,97,53,55,161,59,59,149,128,99,84,297,200,162,264,204,202,121,75,45,16,031
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587,50,0,0,11,0,0,47,0,0,23,11,7,15,0,8,162,4,24,96,29,65,16,0,19,79,43,12,12,14,12,12,59,12,12,36,17,12,19,12,6,48,6,17,34,17,27,16,12,29,16,033
